name,type,mappedLocationId,margin,freight,updatedAt,state,parentToChildDistance
BUXAR,LOCATION,,,,2023-10-19T17:42:01.457Z,BIHAR,
PURNIA,LOCATION,,,,2023-10-19T17:42:01.457Z,BIHAR,
PATHANKOT,LOCATION,,,,2023-10-19T17:42:01.457Z,PUNJAB,
DHUBRI,LOCATION,,,,2023-10-19T17:42:01.457Z,ASSAM,
JEHANABAD,LOCATION,,,,2023-10-19T17:42:01.457Z,BIHAR,
PALGHAR,LOCATION,,,,2024-06-14T09:28:30.449Z,MAHARASHTRA,80
AJMER,LOCATION,,,,2023-10-19T17:42:01.458Z,RAJASTHAN,
DANG,LOCATION,,,,2023-10-19T17:42:01.458Z,GUJARAT,
BENGALURU URBAN,LOCATION,,,,2023-10-19T17:42:01.458Z,KARNATAKA,8
JHABUA,LOCATION,,,,2023-10-19T17:42:01.458Z,MADHYA PRADESH,91
NAGAPATTINAM,LOCATION,,,,2023-10-19T17:42:01.458Z,TAMIL NADU,
ALMORA,LOCATION,,,,2023-10-19T17:42:01.458Z,UTTARAKHAND,
NARMADAPURAM,LOCATION,,,,2023-10-19T17:42:01.459Z,MADHYA PRADESH,242
JAMMU,LOCATION,,,,2023-10-19T17:42:01.459Z,JAMMU AND KASHMIR,
PRAKASAM,LOCATION,,,,2023-10-19T17:42:01.459Z,ANDHRA PRADESH,179
SAWAI MADHOPUR,LOCATION,,,,2023-10-19T17:42:01.459Z,RAJASTHAN,110
TIKAMGARH,LOCATION,,,,2023-10-19T17:42:01.460Z,MADHYA PRADESH,99
UTTAR KANNAD,LOCATION,,,,2023-10-19T17:42:01.460Z,KARNATAKA,
GOMATI,LOCATION,,,,2023-10-19T17:42:01.460Z,TRIPURA,
SHIVAMOGGA,LOCATION,,,,2023-10-19T17:42:01.460Z,KARNATAKA,174
ANUPPUR,LOCATION,,,,2023-10-19T17:42:01.460Z,MADHYA PRADESH,
IMPHAL WEST,LOCATION,,,,2023-10-19T17:42:01.460Z,MANIPUR,
EAST KHASI HILLS,LOCATION,,,,2023-10-19T17:42:01.460Z,MEGHALAYA,
SINGRAULI,LOCATION,,,,2023-10-19T17:42:01.461Z,MADHYA PRADESH,175
